"SEMEL_YISHUV","locality","2006","2009","2013","2015","loc"
7,"שחר",0,0,0,0.144970414201183,"שחר"
10,"תירוש",0,0,0,0.0558139534883721,"תירוש"
11,"ניר ח""ן",0,0,0,0.137931034482759,"נירחן"
13,"חצבה",0,0,0,0.0607734806629834,"חצבה"
15,"נועם",0,0,0,0.0570175438596491,"נועם"
16,"בית ניר",0,0,0,0.00655737704918033,"ביתניר"
18,"שדה משה",0,0,0,0.0847457627118644,"שדהמשה"
21,"באר אורה",NA,NA,0,0.115044247787611,"באראורה"
22,"מקווה ישראל",0,0,0,0.0925925925925926,"מקווהישראל"
23,"אמציה",0,0,0,0.0708661417322835,"אמציה"
24,"לכיש",0,0,0,0.0197530864197531,"לכיש"
26,"ראש פינה",0,0,0,0.0662128712871287,"ראשפינה"
27,"שדות מיכה",0,0,0,0.148717948717949,"שדותמיכה"
28,"מזכרת בתיה",0,0,0,0.10586176727909,"מזכרתבתיה"
29,"יסוד המעלה",0,0,0,0.0666666666666667,"יסודהמעלה"
31,"אופקים",0,0,0,0.0501887095479001,"אופקים"
32,"עוצם",0,0,0,0.0559006211180124,"עוצם"
33,"בת שלמה",0,0,0,0.08125,"בתשלמה"
35,"גדות",0,0,0,0.037037037037037,"גדות"
36,"שדה דוד",0,0,0,0.085427135678392,"שדהדוד"
37,"איתן",0,0,0,0.0826771653543307,"איתן"
39,"גפן",0,0,0,0.077319587628866,"גפן"
41,"אליכין",0,0,0,0.162022703818369,"אליכין"
43,"מטולה",0,0,0,0.0770901194353963,"מטולה"
44,"זוהר",0,0,0,0.0351758793969849,"זוהר"
46,"יבנאל",0,0,0,0.0654997176736307,"יבנאל"
47,"כפר תבור",0,0,0,0.0778414517669532,"כפרתבור"
48,"מנחמיה",0,0,0,0.143790849673203,"מנחמיה"
49,"אילניה",0,0,0,0.0771812080536913,"אילניה"
52,"לוזית",0,0,0,0.0543478260869565,"לוזית"
53,"עתלית",0,0,0,0.122282608695652,"עתלית"
55,"נוגה",0,0,0,0.180505415162455,"נוגה"
57,"כנרת (קבוצה)",0,0,0,0.0570776255707763,"כנרתקבוצה"
