"SEMEL_YISHUV","locality","loc","X2006","X2009","X2013","X2015","X2019","X2019_2","X2020","X2021","X2022","distance","SHEM_YISHUV"
13,"חצבה","חצבה",0.72635994841362,0.71461716937355,0.75704989154013,0.763713080168776,0.802788844621514,0.743027888446215,0.763005780346821,0.717996289424861,0.720848056537102,102.743642435493,"חצבה"
33,"בת שלמה","בתשלמה",0.713617279579139,0.724242424242424,0.785522788203753,0.81360201511335,0.828703703703704,0.777011494252874,0.802721088435374,0.807692307692308,0.738041002277904,120.786273076813,"בת שלמה"
41,"אליכין","אליכין",0.688769583534745,0.704949543488707,0.735511982570806,0.795038633590891,0.762633996937213,0.764161849710983,0.759208995734781,0.73822188449848,0.757791963950432,97.9577989286117,"אליכין"
47,"כפר תבור","כפרתבור",0.683806188234217,0.706422018348624,0.735609368797142,0.752962298025135,0.750151057401813,0.728387675740353,0.725461035098156,0.706206496519722,0.698781524511193,146.264738444617,"כפר תבור"
53,"עתלית","עתלית",0.632632535287403,0.644028103044497,0.667347401860676,0.709354357553803,0.718087995654536,0.715947136563877,0.718966390812363,0.702757756189282,0.72463976945245,126.087004080812,"עתלית"
66,"מרחביה (קיבוץ)","מרחביהקיבוץ",0.593262709066382,0.708117443868739,0.754740834386852,0.75417661097852,0.731981981981982,0.717171717171717,0.721132897603486,0.707446808510638,0.690526315789474,135.365627501323,"מרחביה (קיבוץ)"
72,"גן שמואל","גןשמואל",0.752391298213933,0.741463414634146,0.762246117084827,0.7903981264637,0.771526980482204,0.781714285714286,0.773823191733639,0.778669724770642,0.763761467889908,103.924995471069,"גן שמואל"
74,"עין הוד","עיןהוד",0.610400827662139,0.684057971014493,0.70935960591133,0.745575221238938,0.743951612903226,0.721774193548387,0.707661290322581,0.698630136986301,0.644787644787645,130.575233761085,"עין הוד"
80,"נהלל","נהלל",0.661515842238734,0.733113673805601,0.759873617693523,0.779279279279279,0.761442441054092,0.754716981132076,0.757738896366083,0.763089005235602,0.741626794258373,136.149024654341,"נהלל"
82,"עין חרוד (מאוחד)","עיןחרודמאוחד",0.651568186464936,0.708955223880597,0.706056129985229,0.714285714285714,0.722058823529412,0.737388724035608,0.725146198830409,0.716763005780347,0.681556195965418,135.87769237714,"עין חרוד (מאוחד)"
84,"תל יוסף","תליוסף",0.865704772475028,0.692520775623269,0.735294117647059,0.777479892761394,0.773584905660377,0.739247311827957,0.748648648648649,0.747967479674797,0.715384615384615,136.254988240105,"תל יוסף"
85,"כפר יחזקאל","כפריחזקאל",0.835232996943463,0.807763401109057,0.796296296296296,0.827123695976155,0.817415730337079,0.802469135802469,0.818431911966988,0.806275579809004,0.794233289646134,134.280545655343,"כפר יחזקאל"
86,"גבע","גבע",0.795626600428409,0.777777777777778,0.754980079681275,0.758284600389864,0.719465648854962,0.727969348659004,0.731517509727626,0.730916030534351,0.682879377431907,135.56622038062,"גבע"
89,"עין חרוד (איחוד)","עיןחרודאיחוד",0.635,0.712707182320442,0.76271186440678,0.775471698113208,0.75763358778626,0.724470134874759,0.731141199226306,0.742690058479532,0.721343873517787,136.446902217282,"עין חרוד (איחוד)"
90,"חפצי-בה","חפציבה",0.772648631645172,0.679790026246719,0.725490196078431,0.735576923076923,0.742049469964664,0.763250883392226,0.73286467486819,0.730496453900709,0.700170357751278,134.755077038911,"חפצי-בה"
92,"גיניגר","גיניגר",0.681492681492681,0.678004535147392,0.733333333333333,0.712686567164179,0.70990990990991,0.716417910447761,0.701851851851852,0.702359346642468,0.657657657657658,138.344206620856,"גיניגר"
94,"בלפוריה","בלפוריה",0.734162895927602,0.728395061728395,0.759146341463415,0.8,0.822335025380711,0.819338422391858,0.8275,0.788095238095238,0.777239709443099,136.780691061526,"בלפוריה"
95,"בית אלפא","ביתאלפא",1,0.666666666666667,0.711507293354943,0.736607142857143,0.722689075630252,0.717905405405405,0.695652173913043,0.714041095890411,0.715469613259669,134.832808863252,"בית אלפא"
96,"יגור","יגור",0.85100414965833,0.712183156173344,0.697492163009404,0.706161137440758,0.695067264573991,0.696947133283693,0.681448632668145,0.664473684210526,0.637401855817273,138.037130311087,"יגור"
97,"מרחביה (מושב)","מרחביהמושב",0.614264551196973,0.776,0.767535070140281,0.78727634194831,0.759927797833935,0.761989342806394,0.758741258741259,0.728353140916808,0.719734660033168,135.235587226044,"מרחביה (מושב)"
99,"מצפה רמון","מצפהרמון",0.673895065963099,0.56236975290265,0.587081891580161,0.609392575928009,0.577717391304348,0.569561666212905,0.577819956616052,0.504043126684636,0.530890612463225,78.5084245751327,"מצפה רמון"
102,"מאיר שפיה","מאירשפיה",0.289661319073084,0.421052631578947,0.525252525252525,0.532608695652174,0.509433962264151,0.533898305084746,0.482142857142857,0.504347826086956,0.4296875,118.615819743464,"מאיר שפיה"
103,"תל עדשים","תלעדשים",0.916963240102812,0.821428571428571,0.766619519094767,0.817333333333333,0.804295942720764,0.777777777777778,0.764705882352941,0.792584009269988,0.743875278396437,139.035665873934,"תל עדשים"
104,"מזרע","מזרע",0.592310966094481,0.702255639097744,0.732115677321157,0.72824427480916,0.735294117647059,0.714494875549048,0.724890829694323,0.719148936170213,0.697574893009986,138.374074525615,"מזרע"
106,"כפר גדעון","כפרגדעון",1,0.678082191780822,0.730769230769231,0.778443113772455,0.802197802197802,0.769230769230769,0.728260869565217,0.71957671957672,0.710900473933649,138.095299723274,"כפר גדעון"
112,"כפר חסידים א'","כפרחסידיםא",0.910870566559189,0.75,0.790419161676647,0.784431137724551,0.762645914396887,0.761627906976744,0.749518304431599,0.743833017077799,0.704460966542751,138.416943385426,"כפר חסידים א'"
113,"אדירים","אדירים",0.864244021841461,0.785714285714286,0.824468085106383,0.779904306220096,0.760869565217391,0.830434782608696,0.785407725321888,0.769230769230769,0.753191489361702,128.30456608428,"אדירים"
115,"חופית","חופית",0.68827627093523,0.744219653179191,0.766906474820144,0.785206258890469,0.718019257221458,0.706919945725916,0.710204081632653,0.753280839895013,0.728426395939086,94.152194957121,"חופית"
122,"רמת ישי","רמתישי",0.670683135316007,0.728574625195793,0.760438714643063,0.77544634640162,0.756971408400988,0.741218005295675,0.745703262013329,0.736418166238218,0.726894946808511,137.569672006859,"רמת ישי"
126,"שריד","שריד",0.825813418470351,0.671974522292994,0.717451523545706,0.730398899587345,0.727030625832224,0.730053191489362,0.714854111405836,0.698952879581152,0.690414507772021,135.613537934856,"שריד"
130,"משמר העמק","משמרהעמק",0.82720195063524,0.739076154806492,0.762886597938144,0.744493392070485,0.763326226012793,0.756046267087277,0.751840168243954,0.771097046413502,0.762513312034079,127.754958164979,"משמר העמק"
132,"כפר ברוך","כפרברוך",0.811882859313022,0.705179282868526,0.78839590443686,0.783536585365854,0.792817679558011,0.803867403314917,0.775675675675676,0.752659574468085,0.770642201834862,133.227390568458,"כפר ברוך"
133,"גבת","גבת",0.867518574408166,0.762295081967213,0.810593900481541,0.838509316770186,0.812041116005874,0.822320117474302,0.812041116005874,0.804347826086957,0.810541310541311,136.538311818503,"גבת"
134,"יפעת","יפעת",0.925978341127246,0.696374622356495,0.752941176470588,0.775280898876405,0.741656365883807,0.76997578692494,0.761158021712907,0.750295857988166,0.756410256410256,137.721386966089,"יפעת"
135,"רמת דוד","רמתדוד",1,0.61340206185567,0.895238095238095,0.77521613832853,0.804597701149425,0.811267605633803,0.794444444444444,0.778666666666667,0.754950495049505,135.449376654464,"רמת דוד"
139,"עין שמר","עיןשמר",0.509028635746099,0.701013513513513,0.731833910034602,0.744897959183674,0.751736111111111,0.729131175468484,0.726190476190476,0.717428087986464,0.713622291021672,107.314308736751,"עין שמר"
140,"כפר יהושע","כפריהושע",0.927835051546392,0.813167259786477,0.82179675994109,0.83026874115983,0.803377563329312,0.789855072463768,0.810843373493976,0.773474178403756,0.772222222222222,133.461984250908,"כפר יהושע"
141,"ברק","ברק",0.818901098901099,0.66,0.699658703071672,0.723472668810289,0.717607973421927,0.741830065359477,0.720394736842105,0.662295081967213,0.740740740740741,127.398381145244,"ברק"
142,"שדה יעקב","שדהיעקב",0.751427806254321,0.82089552238806,0.854684512428298,0.841637010676157,0.820846905537459,0.789137380191693,0.799363057324841,0.778801843317972,0.780923994038748,135.650286558412,"שדה יעקב"
145,"גדיש","גדיש",0.793746630727763,0.656603773584906,0.678571428571429,0.760617760617761,0.705454545454545,0.683636363636364,0.74468085106383,0.705263157894737,0.742049469964664,127.848213385516,"גדיש"
146,"דבורה","דבורה",0.606757067340841,0.602564102564103,0.719298245614035,0.744292237442922,0.7,0.717391304347826,0.68859649122807,0.647058823529412,0.615044247787611,128.102766259865,"דבורה"
154,"תל מונד","תלמונד",0.6419678599692,0.722517730496454,0.74294544477291,0.777570789865872,0.766180443003782,0.75716730851519,0.748262792166772,0.736922450641156,0.747274813539874,79.2941120279761,"תל מונד"
157,"עין ורד","עיןורד",0.723415132924335,0.801955990220049,0.834547346514048,0.838293650793651,0.81267217630854,0.805682859761687,0.779411764705882,0.803713527851459,0.75885911840968,84.1144268104242,"עין ורד"
162,"חירות","חירות",0.758277162394692,0.847545219638243,0.839094159713945,0.845153664302601,0.823466092572659,0.814377682403433,0.811015118790497,0.807073954983923,0.775700934579439,81.4030868366877,"חירות"
164,"מלאה","מלאה",0.701023696266906,0.745535714285714,0.83402489626556,0.781954887218045,0.811594202898551,0.776978417266187,0.847826086956522,0.794223826714801,0.776173285198556,127.752883152997,"מלאה"
165,"ניר יפה","ניריפה",0.905022045237762,0.62280701754386,0.730027548209366,0.810026385224274,0.746268656716418,0.730392156862745,0.770685579196217,0.713318284424379,0.724511930585683,128.746959570369,"ניר יפה"
167,"עין החורש","עיןהחורש",0.749311111848876,0.775229357798165,0.786153846153846,0.809667673716012,0.818978102189781,0.79971181556196,0.767605633802817,0.762247838616715,0.756944444444444,96.8808871069419,"עין החורש"
168,"כפר יונה","כפריונה",0.633850946412089,0.659592215013902,0.719157472417252,0.765763154080301,0.739970186013352,0.73057092555332,0.736433638513309,0.714692969952677,0.737665960634396,88.1957249024117,"כפר יונה"
170,"כפר יעבץ","כפריעבץ",0.833740650908856,0.716157205240175,0.785876993166287,0.812095032397408,0.789587852494577,0.793548387096774,0.79957805907173,0.772357723577236,0.737945492662474,87.0393975156536,"כפר יעבץ"
171,"פרדסיה","פרדסיה",0.556061776178148,0.741425992779783,0.756024738750267,0.783078880407125,0.772946859903382,0.7563614506111,0.755844155844156,0.757796451914099,0.764767381076843,87.4936899723056,"פרדסייה"
