"SEMEL_YISHUV","year","alarm","locality","loc","date","distance","alert","month","Pop_Total","district","geometry"
-2,2014,1,"אבו עפאש","אבועפאש",2014-08-20,26.5115528831857,1,8,0,"HaDarom",c(34.808983, 31.1598595)
-2,2014,1,"אבו תלול","אבותלול",2014-07-27,26.5115528831857,1,7,0,"HaDarom",c(34.913514, 31.1426115)
-2,2015,1,"שבלי","שבלי",2015-03-11,26.5115528831857,1,3,0,"HaZafon",c(35.3975925, 32.687675)
-2,2016,1,"אבו ג'ודה","אבוגודה",2016-09-20,26.5115528831857,1,9,0,"HaDarom",c(35.111137, 31.2344475)
-2,2016,1,"גבעת וולפסון","גבעתוולפסון",2016-06-22,26.5115528831857,1,6,0,"Haifa",c(35.0170555, 32.7202415)
-2,2017,1,"אבו ג'ודה","אבוגודה",2017-03-21,26.5115528831857,1,3,NA,"HaDarom",c(35.111137, 31.2344475)
-2,2017,1,"שבלי","שבלי",2017-07-18,26.5115528831857,1,7,NA,"HaZafon",c(35.3975925, 32.687675)
-2,2017,1,"צריפין","צריפין",2017-08-08,26.5115528831857,1,8,NA,"HaMerkaz",c(34.840566, 31.9573275)
-2,2018,1,"אבו תלול","אבותלול",2018-10-17,26.5115528831857,1,10,NA,"HaDarom",c(34.913514, 31.1426115)
-2,2018,1,"מסעודין אל עזאזמה","מסעודיןאלעזאזמה",2018-08-09,26.5115528831857,1,8,NA,"HaDarom",c(34.817449, 31.1992635)
-2,2018,1,"לב יתיר","לביתיר",2018-11-12,26.5115528831857,1,11,NA,"HaDarom",c(35.060671, 31.3477925)
-2,2018,1,"חוות שלם","חוותשלם",2018-12-26,26.5115528831857,1,12,NA,"Tel Aviv",c(34.822714, 32.0396005)
-2,2019,1,"אבו ג'ודה","אבוגודה",2019-05-05,26.5115528831857,1,5,NA,"HaDarom",c(35.111137, 31.2344475)
-2,2019,1,"בית ספר אורט בנימינה","ביתספראורטבנימינה",2019-07-31,26.5115528831857,1,7,NA,"Haifa",c(34.9528783, 32.5497387)
-2,2019,1,"חוות שלם","חוותשלם",2019-03-14,26.5115528831857,1,3,NA,"Tel Aviv",c(34.822714, 32.0396005)
-2,2021,1,"אבו קרינאת והפזורה","אבוקרינאתוהפזורה",2021-05-13,26.5115528831857,1,5,NA,"HaDarom",c(34.9130342, 31.1031086)
-2,2021,1,"אבו קרינאת והפזורה","אבוקרינאתוהפזורה",2021-04-22,26.5115528831857,1,4,NA,"HaDarom",c(34.9130342, 31.1031086)
-2,2023,1,"אבו קרינאת","אבוקרינאת",2023-10-28,26.5115528831857,1,10,NA,"HaDarom",c(34.952003, 31.1031145)
-2,2023,1,"אבו תלול","אבותלול",2023-12-04,26.5115528831857,1,12,NA,"HaDarom",c(34.913514, 31.1426115)
-2,2023,1,"אבו תלול","אבותלול",2023-11-11,26.5115528831857,1,11,NA,"HaDarom",c(34.913514, 31.1426115)
7,2014,1,"שחר","שחר",2014-07-27,16.189978178906,1,7,810,"HaDarom",c(34.7258235, 31.6190036)
7,2014,1,"שחר","שחר",2014-08-20,16.189978178906,1,8,810,"HaDarom",c(34.7258235, 31.6190036)
7,2016,1,"שחר","שחר",2016-09-20,16.189978178906,1,9,860,"HaDarom",c(34.7258235, 31.6190036)
7,2018,1,"שחר","שחר",2018-05-30,16.189978178906,1,5,875,"HaDarom",c(34.7258235, 31.6190036)
7,2018,1,"שחר","שחר",2018-07-14,16.189978178906,1,7,875,"HaDarom",c(34.7258235, 31.6190036)
7,2019,1,"שחר","שחר",2019-11-14,16.189978178906,1,11,879,"HaDarom",c(34.7258235, 31.6190036)
7,2019,1,"שחר","שחר",2019-05-05,16.189978178906,1,5,879,"HaDarom",c(34.7258235, 31.6190036)
7,2021,1,"שחר","שחר",2021-05-13,16.189978178906,1,5,880,"HaDarom",c(34.7258235, 31.6190036)
7,2023,1,"שחר","שחר",2023-10-07,16.189978178906,1,10,NA,"HaDarom",c(34.7258235, 31.6190036)
7,2023,1,"שחר","שחר",2023-12-17,16.189978178906,1,12,NA,"HaDarom",c(34.7258235, 31.6190036)
10,2016,1,"תירוש","תירוש",2016-09-20,37.3360652755944,1,9,520,"Jerusalem",c(34.8851455, 31.7507185)
10,2016,1,"תירוש","תירוש",2016-07-06,37.3360652755944,1,7,520,"Jerusalem",c(34.8851455, 31.7507185)
10,2017,1,"תירוש","תירוש",2017-12-05,37.3360652755944,1,12,502,"Jerusalem",c(34.8851455, 31.7507185)
10,2019,1,"תירוש","תירוש",2019-05-04,37.3360652755944,1,5,492,"Jerusalem",c(34.8851455, 31.7507185)
10,2021,1,"תירוש","תירוש",2021-05-15,37.3360652755944,1,5,454,"Jerusalem",c(34.8851455, 31.7507185)
10,2023,1,"תירוש","תירוש",2023-05-12,37.3360652755944,1,5,NA,"Jerusalem",c(34.8851455, 31.7507185)
10,2023,1,"תירוש","תירוש",2023-10-07,37.3360652755944,1,10,NA,"Jerusalem",c(34.8851455, 31.7507185)
10,2023,1,"תירוש","תירוש",2023-11-21,37.3360652755944,1,11,NA,"Jerusalem",c(34.8851455, 31.7507185)
10,2023,1,"תירוש","תירוש",2023-12-02,37.3360652755944,1,12,NA,"Jerusalem",c(34.8851455, 31.7507185)
11,2014,1,"ניר ח""ן","נירחן",2014-08-20,15.0037993728419,1,8,480,"HaDarom",c(34.7149321, 31.6089264)
11,2014,1,"ניר ח""ן","נירחן",2014-07-27,15.0037993728419,1,7,480,"HaDarom",c(34.7149321, 31.6089264)
11,2016,1,"ניר ח""ן","נירחן",2016-09-20,15.0037993728419,1,9,530,"HaDarom",c(34.7149321, 31.6089264)
11,2018,1,"ניר ח""ן","נירחן",2018-05-30,15.0037993728419,1,5,552,"HaDarom",c(34.7149321, 31.6089264)
11,2018,1,"ניר ח""ן","נירחן",2018-07-14,15.0037993728419,1,7,552,"HaDarom",c(34.7149321, 31.6089264)
11,2019,1,"ניר ח""ן","נירחן",2019-05-04,15.0037993728419,1,5,548,"HaDarom",c(34.7149321, 31.6089264)
11,2021,1,"ניר ח''ן","נירחן",2021-05-13,15.0037993728419,1,5,578,"HaDarom",c(34.7149321, 31.6089264)
11,2023,1,"ניר ח''ן","נירחן",2023-10-07,15.0037993728419,1,10,NA,"HaDarom",c(34.7149321, 31.6089264)
13,2016,1,"חצבה","חצבה",2016-09-20,102.693540069311,1,9,570,"HaDarom",c(35.2739275, 30.76713)
13,2019,1,"חצבה","חצבה",2019-01-02,102.693540069311,1,1,620,"HaDarom",c(35.2739275, 30.76713)
15,2014,1,"נועם","נועם",2014-07-31,20.4037723825024,1,7,350,"HaDarom",c(34.78867, 31.567545)
15,2014,1,"נועם","נועם",2014-08-20,20.4037723825024,1,8,350,"HaDarom",c(34.78867, 31.567545)
15,2016,1,"נועם","נועם",2016-09-20,20.4037723825024,1,9,350,"HaDarom",c(34.78867, 31.567545)
15,2019,1,"נועם","נועם",2019-05-05,20.4037723825024,1,5,355,"HaDarom",c(34.78867, 31.567545)
15,2023,1,"נועם","נועם",2023-10-07,20.4037723825024,1,10,NA,"HaDarom",c(34.78867, 31.567545)
16,2014,1,"בית ניר","ביתניר",2014-07-27,30.8465676429136,1,7,560,"HaDarom",c(34.873543, 31.6483794)
16,2014,1,"בית ניר","ביתניר",2014-08-05,30.8465676429136,1,8,560,"HaDarom",c(34.873543, 31.6483794)
16,2016,1,"בית ניר","ביתניר",2016-09-20,30.8465676429136,1,9,590,"HaDarom",c(34.873543, 31.6483794)
