"SEMEL_YISHUV","locality","X2006","X2009","X2013","X2015","X2019","X2019_2","X2020","X2021","X2022","loc","distance","SHEM_YISHUV"
13,"חצבה",0.124161073825503,0.104234527687296,0.104347826086957,0.074585635359116,0.0769230769230769,0.101876675603217,0.0997442455242967,0.114583333333333,0.0737100737100737,"חצבה",102.743642435493,"חצבה"
33,"בת שלמה",0.173469387755102,0.143459915611814,0.0934256055363322,0.08125,0.0619718309859155,0.0976331360946746,0.0790960451977401,0.143661971830986,0.0897832817337461,"בתשלמה",120.786273076813,"בת שלמה"
41,"אליכין",0.53359375,0.40728021978022,0.298329355608592,0.245098039215686,0.186740890688259,0.252028397565923,0.219836400817996,0.283427981414559,0.322677322677323,"אליכין",97.9577989286117,"אליכין"
47,"כפר תבור",0.111455108359133,0.122855181880577,0.108342361863489,0.0921680993314231,0.0606305578011318,0.121299342105263,0.0931473122691834,0.137448559670782,0.129229514879739,"כפרתבור",146.264738444617,"כפר תבור"
53,"עתלית",0.309512074913751,0.254195661072452,0.166152792052073,0.13737922705314,0.0938848008119767,0.134934389700421,0.127178520960904,0.167150837988827,0.156717907766021,"עתלית",126.087004080812,"עתלית"
66,"מרחביה (קיבוץ)",0.0547112462006079,0.0955882352941176,0.0505050505050505,0.0829346092503987,0.0785824345146379,0.103610675039246,0.0972644376899696,0.14630467571644,0.0972222222222222,"מרחביהקיבוץ",135.365627501323,"מרחביה (קיבוץ)"
72,"גן שמואל",0.00818330605564648,0.00658978583196046,0.00627943485086342,0.00447093889716841,0.00447093889716841,0.00730994152046784,0.00594353640416048,0.00589970501474926,0.00902255639097744,"גןשמואל",103.924995471069,"גן שמואל"
74,"עין הוד",0.0610328638497653,0.0423728813559322,0.0559440559440559,0.0386904761904762,0.018970189701897,0.0588235294117647,0.0428571428571429,0.0896358543417367,0.0510510510510511,"עיןהוד",130.575233761085,"עין הוד"
80,"נהלל",0.079136690647482,0.0519187358916479,0.0251572327044025,0.0366795366795367,0.0146788990825688,0.0609318996415771,0.0392156862745098,0.0600343053173242,0.0501618122977346,"נהלל",136.149024654341,"נהלל"
82,"עין חרוד (מאוחד)",0.0770975056689342,0.0782241014799154,0.0717299578059072,0.062111801242236,0.0450819672131148,0.0663983903420523,0.0625,0.101214574898785,0.048728813559322,"עיןחרודמאוחד",135.87769237714,"עין חרוד (מאוחד)"
84,"תל יוסף",0.0346320346320346,0.072289156626506,0.0656934306569343,0.0588235294117647,0.0313588850174216,0.0625,0.0649819494584837,0.0688405797101449,0.0573476702508961,"תליוסף",136.254988240105,"תל יוסף"
85,"כפר יחזקאל",0.0474860335195531,0.0435779816513761,0.0388349514563107,0.0436363636363636,0.036144578313253,0.0769230769230769,0.0556492411467116,0.0899830220713073,0.066334991708126,"כפריחזקאל",134.280545655343,"כפר יחזקאל"
