"X","SEMEL_YISHUV","SHEM_YISHUV","SHEM_YISHUV_ENGLISH","Religion_yishuv_Code","Religion_yishuv_Txt","Pop_Total","Male_Total","Female_Total","age_0_14","age_15_19","age_20_29","age_30_64","age_65_up","year","Shape_Area","density","age_65_up_percentage","sci_index_value","sci_index_cluster","ntl","within_west_bank","intersecting_west_bank","centroid_within_west_bank"
2705,274,"כפר מנחם","KEFAR MENAHEM",1,"יהודי",1365,687,678,483,127,94,528,132,2018,1.63861935434758,833.018355592093,0.0967032967032967,1.157,8,NA,0,0,0
2706,274,"כפר מנחם","KEFAR MENAHEM",1,"יהודי",1200,0.6,0.6,0.4,0.1,0.1,0.5,0.1,2011,1.63861935434758,732.32382909195,8.33333333333333e-05,1.157,8,NA,0,0,0
2707,274,"כפר מנחם","KEFAR MENAHEM",1,"יהודי",1371,690,681,362,186,148,544,130,2022,1.63861935434758,836.679974737553,0.0948212983223924,1.157,8,NA,0,0,0
2708,274,"כפר מנחם","KEFAR MENAHEM",1,"יהודי",1344,681,661,417,148,121,521,137,2020,1.63861935434758,820.202688582984,0.101934523809524,1.157,8,NA,0,0,0
2709,276,"צור משה","ZUR MOSHE",1,"יהודי",3110,1600,1510,1120,250,220,1310,220,2015,2.05243772336851,1515.27131108066,0.0707395498392283,1.602,8,62.25,0,0,0
2710,276,"צור משה","ZUR MOSHE",1,"יהודי",3312,1726,1585,865,397,318,1389,343,2020,2.05243772336851,1613.69086247561,0.103562801932367,1.602,8,NA,0,0,0
2711,276,"צור משה","ZUR MOSHE",1,"יהודי",3343,1720,1623,989,331,275,1408,341,2018,2.05243772336851,1628.79485303622,0.10200418785522,1.602,8,NA,0,0,0
2712,276,"צור משה","ZUR MOSHE",1,"יהודי",3370,1740,1630,1090,270,250,1430,330,2016,2.05243772336851,1641.94994158901,0.0979228486646884,1.602,8,NA,0,0,0
2713,276,"צור משה","ZUR MOSHE",1,"יהודי",3310,1720,1590,1170,200,200,1470,280,2013,2.05243772336851,1612.7164114717,0.0845921450151057,1.602,8,63,0,0,0
2714,276,"צור משה","ZUR MOSHE",1,"יהודי",3300,1680,1610,1160,190,190,1480,270,2012,2.05243772336851,1607.84415645215,0.0818181818181818,1.602,8,NA,0,0,0
2715,276,"צור משה","ZUR MOSHE",1,"יהודי",3090,1580,1510,1140,230,200,1310,210,2014,2.05243772336851,1505.52680104155,0.0679611650485437,1.602,8,NA,0,0,0
2716,276,"צור משה","ZUR MOSHE",1,"יהודי",3375,1737,1638,1048,297,272,1424,332,2017,2.05243772336851,1644.38606909879,0.0983703703703704,1.602,8,NA,0,0,0
2717,276,"צור משה","ZUR MOSHE",1,NA,2243,NA,NA,NA,NA,NA,NA,NA,2006,2.05243772336851,1092.8468008855,NA,1.602,8,61,0,0,0
2718,276,"צור משה","ZUR MOSHE",1,NA,2932,NA,NA,NA,NA,NA,NA,NA,2009,2.05243772336851,1428.54517173263,NA,1.602,8,59,0,0,0
2719,276,"צור משה","ZUR MOSHE",1,"יהודי",3253,1685,1567,741,428,382,1374,328,2022,2.05243772336851,1584.94455786025,0.100830003074085,1.602,8,NA,0,0,0
2720,276,"צור משה","ZUR MOSHE",1,"יהודי",2700,1.4,1.3,0.9,0.2,0.2,1.4,0.2,2008,2.05243772336851,1315.50885527903,7.40740740740741e-05,1.602,8,NA,0,0,0
2721,276,"צור משה","ZUR MOSHE",1,"יהודי",3000,1.5,1.5,1.2,0.2,0.2,1.4,0.2,2011,2.05243772336851,1461.67650586559,6.66666666666667e-05,1.602,8,NA,0,0,0
2722,276,"צור משה","ZUR MOSHE",1,"יהודי",3264,1702,1562,804,411,344,1376,330,2021,2.05243772336851,1590.30403838176,0.101102941176471,1.602,8,NA,0,0,0
2723,276,"צור משה","ZUR MOSHE",1,"יהודי",3291,1712,1579,908,372,292,1389,329,2019,2.05243772336851,1603.45912693455,0.099969614099058,1.602,8,NA,0,0,0
2724,278,"אושה","USHA",1,"יהודי",588,300,289,164,26,56,245,99,2021,0.306711044452318,1917.11387847141,0.168367346938776,0.873,7,NA,0,0,0
2725,278,"אושה","USHA",1,"יהודי",533,274,260,134,24,60,220,95,2019,0.306711044452318,1737.79200208378,0.178236397748593,0.873,7,NA,0,0,0
2726,278,"אושה","USHA",1,"יהודי",556,283,270,145,25,58,228,100,2020,0.306711044452318,1812.78115039133,0.179856115107914,0.873,7,NA,0,0,0
2727,278,"אושה","USHA",1,"יהודי",493,252,241,110,25,55,207,96,2018,0.306711044452318,1607.37609198368,0.1947261663286,0.873,7,NA,0,0,0
2728,278,"אושה","USHA",1,"יהודי",500,0.2,0.2,0.1,0,0.1,0.2,0.1,2011,0.306711044452318,1630.1988762512,2e-04,0.873,7,NA,0,0,0
2729,278,"אושה","USHA",1,"יהודי",450,220,230,80,30,60,190,100,2014,0.306711044452318,1467.17898862608,0.222222222222222,0.873,7,NA,0,0,0
2730,278,"אושה","USHA",1,NA,350,NA,NA,NA,NA,NA,NA,NA,2006,0.306711044452318,1141.13921337584,NA,0.873,7,59.25,0,0,0
2731,278,"אושה","USHA",1,"יהודי",460,230,230,90,30,50,200,90,2015,0.306711044452318,1499.7829661511,0.195652173913043,0.873,7,62.25,0,0,0
2732,278,"אושה","USHA",1,"יהודי",400,0,0,0,0,0,0,0,2008,0.306711044452318,1304.15910100096,0,0.873,7,NA,0,0,0
2733,278,"אושה","USHA",1,"יהודי",500,250,250,110,20,50,210,100,2016,0.306711044452318,1630.1988762512,0.2,0.873,7,NA,0,0,0
2734,278,"אושה","USHA",1,"יהודי",483,242,241,108,25,54,209,88,2017,0.306711044452318,1574.77211445866,0.182194616977226,0.873,7,NA,0,0,0
2735,278,"אושה","USHA",1,"יהודי",450,220,230,80,30,60,180,100,2013,0.306711044452318,1467.17898862608,0.222222222222222,0.873,7,63,0,0,0
2736,278,"אושה","USHA",1,"יהודי",628,322,306,186,24,53,264,100,2022,0.306711044452318,2047.5297885715,0.159235668789809,0.873,7,NA,0,0,0
2737,278,"אושה","USHA",1,"יהודי",450,230,230,90,30,60,200,90,2012,0.306711044452318,1467.17898862608,0.2,0.873,7,NA,0,0,0
2738,278,"אושה","USHA",1,NA,417,NA,NA,NA,NA,NA,NA,NA,2009,0.306711044452318,1359.5858627935,NA,0.873,7,59,0,0,0
2739,280,"חניתה","HANITA",1,"יהודי",746,353,393,183,73,71,297,123,2022,0.44414139493005,1679.64528529814,0.164879356568365,0.631,7,NA,0,0,0
2740,280,"חניתה","HANITA",1,"יהודי",744,361,383,192,62,69,302,118,2021,0.44414139493005,1675.14221482818,0.158602150537634,0.631,7,NA,0,0,0
2741,280,"חניתה","HANITA",1,"יהודי",761,375,386,203,62,78,301,117,2018,0.44414139493005,1713.41831382291,0.153745072273325,0.631,7,NA,0,0,0
2742,280,"חניתה","HANITA",1,"יהודי",500,0,0,0,0,0,0,0,2008,0.44414139493005,1125.76761749205,0,0.631,7,NA,0,0,0
2743,280,"חניתה","HANITA",1,"יהודי",720,360,370,200,50,80,290,110,2014,0.44414139493005,1621.10536918856,0.152777777777778,0.631,7,NA,0,0,0
2744,280,"חניתה","HANITA",1,"יהודי",730,360,370,200,50,80,290,110,2016,0.44414139493005,1643.6207215384,0.150684931506849,0.631,7,NA,0,0,0
2745,280,"חניתה","HANITA",1,"יהודי",756,372,384,211,46,79,306,113,2017,0.44414139493005,1702.16063764799,0.149470899470899,0.631,7,NA,0,0,0
2746,280,"חניתה","HANITA",1,NA,447,NA,NA,NA,NA,NA,NA,NA,2006,0.44414139493005,1006.4362500379,NA,0.631,7,43,0,0,0
2747,280,"חניתה","HANITA",1,"יהודי",756,368,388,201,60,79,298,118,2019,0.44414139493005,1702.16063764799,0.156084656084656,0.631,7,NA,0,0,0
2748,280,"חניתה","HANITA",1,"יהודי",720,360,370,190,50,80,290,110,2015,0.44414139493005,1621.10536918856,0.152777777777778,0.631,7,37.75,0,0,0
2749,280,"חניתה","HANITA",1,"יהודי",680,330,350,180,40,90,270,110,2013,0.44414139493005,1531.04395978919,0.161764705882353,0.631,7,48.5,0,0,0
2750,280,"חניתה","HANITA",1,"יהודי",670,330,340,180,40,80,270,90,2012,0.44414139493005,1508.52860743935,0.134328358208955,0.631,7,NA,0,0,0
2751,280,"חניתה","HANITA",1,"יהודי",600,0.3,0.3,0.1,0,0.1,0.2,0.1,2011,0.44414139493005,1350.92114099046,0.000166666666666667,0.631,7,NA,0,0,0
2752,280,"חניתה","HANITA",1,"יהודי",746,361,386,193,59,83,297,114,2020,0.44414139493005,1679.64528529814,0.152815013404826,0.631,7,NA,0,0,0
2753,280,"חניתה","HANITA",1,NA,466,NA,NA,NA,NA,NA,NA,NA,2009,0.44414139493005,1049.21541950259,NA,0.631,7,38,0,0,0
2754,281,"פקיעין חדשה","PEQI'IN HADASHA",1,"יהודי",400,0,0,0,0,0,0,0,2011,0.724599862941101,552.028809909551,0,0.225,6,NA,0,0,0
2755,281,"פקיעין חדשה","PEQI'IN HADASHA",1,NA,385,NA,NA,NA,NA,NA,NA,NA,2009,0.724599862941101,531.327729537943,NA,0.225,6,44,0,0,0
2756,281,"פקיעין חדשה","PEQI'IN HADASHA",1,NA,355,NA,NA,NA,NA,NA,NA,NA,2006,0.724599862941101,489.925568794727,NA,0.225,6,48,0,0,0
2757,281,"פקיעין חדשה","PEQI'IN HADASHA",1,"יהודי",380,200,190,100,30,60,160,30,2014,0.724599862941101,524.427369414074,0.0789473684210526,0.225,6,NA,0,0,0
2758,281,"פקיעין חדשה","PEQI'IN HADASHA",1,"יהודי",547,246,302,149,29,79,195,94,2018,0.724599862941101,754.899397551311,0.171846435100548,0.225,6,NA,0,0,0
2759,281,"פקיעין חדשה","PEQI'IN HADASHA",1,"יהודי",400,200,200,120,30,60,170,30,2015,0.724599862941101,552.028809909551,0.075,0.225,6,49,0,0,0
2760,281,"פקיעין חדשה","PEQI'IN HADASHA",1,"יהודי",470,220,250,110,30,60,170,100,2016,0.724599862941101,648.633851643723,0.212765957446809,0.225,6,NA,0,0,0
2761,281,"פקיעין חדשה","PEQI'IN HADASHA",1,"יהודי",460,210,240,110,40,70,150,90,2013,0.724599862941101,634.833131395984,0.195652173913043,0.225,6,56,0,0,0
2762,281,"פקיעין חדשה","PEQI'IN HADASHA",1,"יהודי",624,291,333,162,38,69,231,123,2022,0.724599862941101,861.1649434589,0.197115384615385,0.225,6,NA,0,0,0
2763,281,"פקיעין חדשה","PEQI'IN HADASHA",1,"יהודי",470,220,250,110,30,70,160,110,2012,0.724599862941101,648.633851643723,0.234042553191489,0.225,6,NA,0,0,0
2764,281,"פקיעין חדשה","PEQI'IN HADASHA",1,"יהודי",577,271,306,160,27,79,214,99,2021,0.724599862941101,796.301558294528,0.17157712305026,0.225,6,NA,0,0,0
2765,281,"פקיעין חדשה","PEQI'IN HADASHA",1,"יהודי",400,0,0,0,0,0,0,0,2008,0.724599862941101,552.028809909551,0,0.225,6,NA,0,0,0
2766,281,"פקיעין חדשה","PEQI'IN HADASHA",1,"יהודי",585,271,314,161,28,72,209,115,2020,0.724599862941101,807.342134492719,0.196581196581197,0.225,6,NA,0,0,0
2767,281,"פקיעין חדשה","PEQI'IN HADASHA",1,"יהודי",507,231,276,124,26,75,185,97,2017,0.724599862941101,699.696516560356,0.191321499013807,0.225,6,NA,0,0,0
2768,281,"פקיעין חדשה","PEQI'IN HADASHA",1,"יהודי",535,246,289,140,30,76,202,87,2019,0.724599862941101,738.338533254025,0.162616822429907,0.225,6,NA,0,0,0
2769,282,"שבי ציון","SHAVE ZIYYON",1,"יהודי",1205,596,610,357,102,93,498,155,2019,2.26711417865484,531.512709569382,0.128630705394191,1.594,8,NA,0,0,0
2770,282,"שבי ציון","SHAVE ZIYYON",1,"יהודי",1083,535,548,324,71,94,443,151,2017,2.26711417865484,477.699804534142,0.139427516158818,1.594,8,NA,0,0,0
2771,282,"שבי ציון","SHAVE ZIYYON",1,"יהודי",1229,609,618,379,96,92,509,153,2020,2.26711417865484,542.098854822217,0.124491456468674,1.594,8,NA,0,0,0
2772,282,"שבי ציון","SHAVE ZIYYON",1,"יהודי",1140,568,572,341,85,101,467,148,2018,2.26711417865484,502.841899509623,0.129824561403509,1.594,8,NA,0,0,0
2773,282,"שבי ציון","SHAVE ZIYYON",1,NA,813,NA,NA,NA,NA,NA,NA,NA,2009,2.26711417865484,358.605670439758,NA,1.594,8,58,0,0,0
2774,282,"שבי ציון","SHAVE ZIYYON",1,"יהודי",970,490,480,270,40,110,410,130,2012,2.26711417865484,427.856703968714,0.134020618556701,1.594,8,NA,0,0,0
2775,282,"שבי ציון","SHAVE ZIYYON",1,"יהודי",1000,500,510,300,50,100,420,140,2014,2.26711417865484,441.089385534757,0.14,1.594,8,NA,0,0,0
2776,282,"שבי ציון","SHAVE ZIYYON",1,"יהודי",1010,500,510,300,70,90,410,150,2016,2.26711417865484,445.500279390105,0.148514851485149,1.594,8,NA,0,0,0
2777,282,"שבי ציון","SHAVE ZIYYON",1,"יהודי",1275,626,649,357,111,115,526,167,2022,2.26711417865484,562.388966556815,0.130980392156863,1.594,8,NA,0,0,0
2778,282,"שבי ציון","SHAVE ZIYYON",1,"יהודי",1000,490,510,290,50,120,410,140,2013,2.26711417865484,441.089385534757,0.14,1.594,8,62.5,0,0,0
2779,282,"שבי ציון","SHAVE ZIYYON",1,NA,654,NA,NA,NA,NA,NA,NA,NA,2006,2.26711417865484,288.472458139731,NA,1.594,8,60.25,0,0,0
2780,282,"שבי ציון","SHAVE ZIYYON",1,"יהודי",900,0.5,0.5,0.2,0,0.1,0.4,0.1,2011,2.26711417865484,396.980446981281,0.000111111111111111,1.594,8,NA,0,0,0
2781,282,"שבי ציון","SHAVE ZIYYON",1,"יהודי",1010,500,510,300,50,90,410,150,2015,2.26711417865484,445.500279390105,0.148514851485149,1.594,8,60.25,0,0,0
2782,282,"שבי ציון","SHAVE ZIYYON",1,"יהודי",700,0,0,0,0,0,0,0,2008,2.26711417865484,308.76256987433,0,1.594,8,NA,0,0,0
2783,282,"שבי ציון","SHAVE ZIYYON",1,"יהודי",1270,626,644,370,107,108,519,167,2021,2.26711417865484,560.183519629142,0.131496062992126,1.594,8,NA,0,0,0
2784,284,"שדה ורבורג","SEDE WARBURG",1,"יהודי",1485,754,731,401,155,129,611,187,2018,1.17340974318462,1265.54258529482,0.125925925925926,1.746,9,NA,0,0,0
2785,284,"שדה ורבורג","SEDE WARBURG",1,NA,1260,NA,NA,NA,NA,NA,NA,NA,2009,1.17340974318462,1073.793708735,NA,1.746,9,59,0,0,0
2786,284,"שדה ורבורג","SEDE WARBURG",1,"יהודי",1489,759,730,412,140,135,613,189,2017,1.17340974318462,1268.95145421144,0.126930826057757,1.746,9,NA,0,0,0
2787,284,"שדה ורבורג","SEDE WARBURG",1,"יהודי",1470,730,750,460,90,120,650,140,2012,1.17340974318462,1252.7593268575,0.0952380952380952,1.746,9,NA,0,0,0
2788,284,"שדה ורבורג","SEDE WARBURG",1,"יהודי",1480,760,730,430,130,130,630,170,2015,1.17340974318462,1261.28149914905,0.114864864864865,1.746,9,62,0,0,0
2789,284,"שדה ורבורג","SEDE WARBURG",1,NA,1174,NA,NA,NA,NA,NA,NA,NA,2006,1.17340974318462,1000.50302702769,NA,1.746,9,61,0,0,0
2790,284,"שדה ורבורג","SEDE WARBURG",1,"יהודי",1200,0.6,0.6,0.4,0,0.2,0.6,0.1,2008,1.17340974318462,1022.66067498572,8.33333333333333e-05,1.746,9,NA,0,0,0
2791,284,"שדה ורבורג","SEDE WARBURG",1,"יהודי",1400,0.7,0.7,0.4,0.1,0.1,0.6,0.1,2011,1.17340974318462,1193.10412081667,7.14285714285714e-05,1.746,9,NA,0,0,0
2792,284,"שדה ורבורג","SEDE WARBURG",1,"יהודי",1470,740,730,470,90,120,650,150,2013,1.17340974318462,1252.7593268575,0.102040816326531,1.746,9,63,0,0,0
2793,284,"שדה ורבורג","SEDE WARBURG",1,"יהודי",1478,752,726,387,146,144,610,191,2019,1.17340974318462,1259.57706469074,0.129228687415426,1.746,9,NA,0,0,0
2794,284,"שדה ורבורג","SEDE WARBURG",1,"יהודי",1436,716,720,343,151,152,588,201,2021,1.17340974318462,1223.78394106624,0.139972144846797,1.746,9,NA,0,0,0
2795,284,"שדה ורבורג","SEDE WARBURG",1,"יהודי",1490,750,730,460,110,120,630,160,2014,1.17340974318462,1269.8036714406,0.10738255033557,1.746,9,NA,0,0,0
2796,284,"שדה ורבורג","SEDE WARBURG",1,"יהודי",1411,705,707,321,144,171,570,206,2022,1.17340974318462,1202.47851033737,0.145995747696669,1.746,9,NA,0,0,0
2797,284,"שדה ורבורג","SEDE WARBURG",1,"יהודי",1490,760,730,430,130,140,620,180,2016,1.17340974318462,1269.8036714406,0.120805369127517,1.746,9,NA,0,0,0
2798,284,"שדה ורבורג","SEDE WARBURG",1,"יהודי",1442,732,711,362,140,155,591,194,2020,1.17340974318462,1228.89724444117,0.134535367545076,1.746,9,NA,0,0,0
2799,285,"אלונים","ALLONIM",1,"יהודי",400,0,0,0,0,0,0,0,2008,2.7881374048505,143.464952374343,0,0.587,7,NA,0,0,0
2800,285,"אלונים","ALLONIM",1,"יהודי",470,240,230,100,20,50,210,90,2015,2.7881374048505,168.571319039853,0.191489361702128,0.587,7,58,0,0,0
2801,285,"אלונים","ALLONIM",1,"יהודי",548,275,273,177,17,32,210,113,2021,2.7881374048505,196.546984752849,0.206204379562044,0.587,7,NA,0,0,0
2802,285,"אלונים","ALLONIM",1,"יהודי",480,240,240,100,20,70,200,90,2014,2.7881374048505,172.157942849211,0.1875,0.587,7,NA,0,0,0
2803,285,"אלונים","ALLONIM",1,"יהודי",515,254,261,144,27,37,200,0,2019,2.7881374048505,184.711126181966,0,0.587,7,NA,0,0,0
2804,285,"אלונים","ALLONIM",1,"יהודי",470,230,240,90,30,80,190,80,2012,2.7881374048505,168.571319039853,0.170212765957447,0.587,7,NA,0,0,0
2805,285,"אלונים","ALLONIM",1,NA,445,NA,NA,NA,NA,NA,NA,NA,2009,2.7881374048505,159.604759516456,NA,0.587,7,59,0,0,0
2806,285,"אלונים","ALLONIM",1,"יהודי",525,262,262,163,21,38,198,105,2020,2.7881374048505,188.297749991325,0.2,0.587,7,NA,0,0,0
2807,285,"אלונים","ALLONIM",1,NA,521,NA,NA,NA,NA,NA,NA,NA,2006,2.7881374048505,186.863100467581,NA,0.587,7,60,0,0,0
2808,285,"אלונים","ALLONIM",1,"יהודי",482,245,237,117,21,45,200,97,2017,2.7881374048505,172.875267611083,0.201244813278008,0.587,7,NA,0,0,0
2809,285,"אלונים","ALLONIM",1,"יהודי",552,278,274,171,23,33,211,114,2022,2.7881374048505,197.981634276593,0.206521739130435,0.587,7,NA,0,0,0
2810,285,"אלונים","ALLONIM",1,"יהודי",500,0.2,0.2,0.1,0,0.1,0.2,0.1,2011,2.7881374048505,179.331190467928,2e-04,0.587,7,NA,0,0,0
2811,285,"אלונים","ALLONIM",1,"יהודי",480,250,230,110,20,60,200,90,2016,2.7881374048505,172.157942849211,0.1875,0.587,7,NA,0,0,0
2812,285,"אלונים","ALLONIM",1,"יהודי",505,253,251,133,23,38,209,104,2018,2.7881374048505,181.124502372608,0.205940594059406,0.587,7,NA,0,0,0
2813,285,"אלונים","ALLONIM",1,"יהודי",480,240,240,90,20,80,200,90,2013,2.7881374048505,172.157942849211,0.1875,0.587,7,62,0,0,0
2814,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,"יהודי",600,300,300,180,20,90,250,60,2014,0.387887636858368,1546.83971074614,0.1,1.078,8,NA,0,0,0
2815,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,"יהודי",540,270,270,140,20,80,240,60,2013,0.387887636858368,1392.15573967152,0.111111111111111,1.078,8,62,0,0,0
2816,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,"יהודי",793,385,408,296,22,46,352,79,2019,0.387887636858368,2044.40648436948,0.0996216897856242,1.078,8,NA,0,0,0
2817,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,"יהודי",769,375,394,277,21,50,343,78,2018,0.387887636858368,1982.53289593963,0.101430429128739,1.078,8,NA,0,0,0
2818,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,"יהודי",670,330,340,220,20,80,300,70,2015,0.387887636858368,1727.30434366652,0.104477611940299,1.078,8,60,0,0,0
2819,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,NA,339,NA,NA,NA,NA,NA,NA,NA,2006,0.387887636858368,873.964436571567,NA,1.078,8,61,0,0,0
2820,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,"יהודי",450,220,230,90,20,80,190,50,2012,0.387887636858368,1160.1297830596,0.111111111111111,1.078,8,NA,0,0,0
2821,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,"יהודי",400,0,0,0,0,0,0,0,2011,0.387887636858368,1031.22647383076,0,1.078,8,NA,0,0,0
2822,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,"יהודי",845,416,429,310,43,40,367,87,2021,0.387887636858368,2178.46592596748,0.102958579881657,1.078,8,NA,0,0,0
2823,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,"יהודי",862,429,433,308,58,39,371,88,2022,0.387887636858368,2222.29305110528,0.102088167053364,1.078,8,NA,0,0,0
2824,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,"יהודי",720,360,360,240,20,60,320,70,2016,0.387887636858368,1856.20765289536,0.0972222222222222,1.078,8,NA,0,0,0
2825,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,NA,380,NA,NA,NA,NA,NA,NA,NA,2009,0.387887636858368,979.66515013922,NA,1.078,8,57.2,0,0,0
2826,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,"יהודי",820,399,420,302,32,42,362,0,2020,0.387887636858368,2114.01427135305,0,1.078,8,NA,0,0,0
2827,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,"יהודי",739,362,376,255,18,53,340,74,2017,0.387887636858368,1905.19091040233,0.100135317997294,1.078,8,NA,0,0,0
2828,286,"מעלה החמישה","MA'ALE HAHAMISHA",1,"יהודי",400,0,0,0,0,0,0,0,2008,0.387887636858368,1031.22647383076,0,1.078,8,NA,0,0,0
2829,287,"תל יצחק","TEL YIZHAQ",1,"יהודי",1017,474,543,202,166,33,175,440,2018,0.428121002084631,2375.49663540907,0.432645034414946,-0.208,4,NA,0,0,0
2830,287,"תל יצחק","TEL YIZHAQ",1,"יהודי",1020,510,510,170,170,50,160,480,2015,0.428121002084631,2382.50400011529,0.470588235294118,-0.208,4,62.5,0,0,0
2831,287,"תל יצחק","TEL YIZHAQ",1,"יהודי",1021,472,549,170,203,37,179,431,2019,0.428121002084631,2384.8397883507,0.422135161606268,-0.208,4,NA,0,0,0
2832,287,"תל יצחק","TEL YIZHAQ",1,"יהודי",700,0.3,0.4,0.1,0,0,0.2,0.4,2011,0.428121002084631,1635.051764785,0.000571428571428571,-0.208,4,NA,0,0,0
2833,287,"תל יצחק","TEL YIZHAQ",1,"יהודי",970,480,490,130,170,40,160,480,2013,0.428121002084631,2265.71458834494,0.494845360824742,-0.208,4,63,0,0,0
2834,287,"תל יצחק","TEL YIZHAQ",1,"יהודי",834,354,479,137,28,34,184,450,2022,0.428121002084631,1948.04738832956,0.539568345323741,-0.208,4,NA,0,0,0
2835,287,"תל יצחק","TEL YIZHAQ",1,"יהודי",1030,490,540,210,160,30,170,470,2016,0.428121002084631,2405.86188246936,0.456310679611651,-0.208,4,NA,0,0,0
2836,287,"תל יצחק","TEL YIZHAQ",1,"יהודי",970,470,490,160,140,40,170,460,2012,0.428121002084631,2265.71458834494,0.474226804123711,-0.208,4,NA,0,0,0
2837,287,"תל יצחק","TEL YIZHAQ",1,"יהודי",823,343,479,132,27,31,174,458,2021,0.428121002084631,1922.35371774008,0.556500607533414,-0.208,4,NA,0,0,0
2838,287,"תל יצחק","TEL YIZHAQ",1,"יהודי",700,0,0,0,0,0,0,0,2008,0.428121002084631,1635.051764785,0,-0.208,4,NA,0,0,0
2839,287,"תל יצחק","TEL YIZHAQ",1,NA,671,NA,NA,NA,NA,NA,NA,NA,2009,0.428121002084631,1567.3139059582,NA,-0.208,4,59,0,0,0
2840,287,"תל יצחק","TEL YIZHAQ",1,"יהודי",803,338,462,129,24,32,168,450,2020,0.428121002084631,1875.63795303194,0.560398505603985,-0.208,4,NA,0,0,0
2841,287,"תל יצחק","TEL YIZHAQ",1,NA,851,NA,NA,NA,NA,NA,NA,NA,2006,0.428121002084631,1987.75578833148,NA,-0.208,4,61,0,0,0
2842,287,"תל יצחק","TEL YIZHAQ",1,"יהודי",1020,510,510,190,150,40,160,480,2014,0.428121002084631,2382.50400011529,0.470588235294118,-0.208,4,NA,0,0,0
2843,287,"תל יצחק","TEL YIZHAQ",1,"יהודי",1029,487,542,164,201,34,170,457,2017,0.428121002084631,2403.52609423396,0.444120505344995,-0.208,4,NA,0,0,0
2844,288,"בית יהושע","BET YEHOSHUA",1,"יהודי",1046,509,537,304,104,89,432,117,2019,1.22435874630292,854.324766461223,0.111854684512428,1.683,9,NA,0,0,0
2845,288,"בית יהושע","BET YEHOSHUA",1,"יהודי",1117,539,578,291,113,117,464,130,2022,1.22435874630292,912.314306058495,0.116383169203223,1.683,9,NA,0,0,0
2846,288,"בית יהושע","BET YEHOSHUA",1,"יהודי",1079,530,545,295,98,114,450,122,2020,1.22435874630292,881.277651062772,0.11306765523633,1.683,9,NA,0,0,0
2847,288,"בית יהושע","BET YEHOSHUA",1,"יהודי",1054,511,544,327,92,75,445,111,2018,1.22435874630292,860.858799091902,0.105313092979127,1.683,9,NA,0,0,0
2848,288,"בית יהושע","BET YEHOSHUA",1,"יהודי",1010,480,530,350,60,70,450,80,2013,1.22435874630292,824.921619623169,0.0792079207920792,1.683,9,63,0,0,0
2849,288,"בית יהושע","BET YEHOSHUA",1,"יהודי",900,0,0,0,0,0,0,0,2008,1.22435874630292,735.078670951339,0,1.683,9,NA,0,0,0
2850,288,"בית יהושע","BET YEHOSHUA",1,"יהודי",1060,510,550,360,80,60,460,90,2015,1.22435874630292,865.759323564911,0.0849056603773585,1.683,9,63,0,0,0
2851,288,"בית יהושע","BET YEHOSHUA",1,"יהודי",1000,0.5,0.5,0.3,0,0.1,0.5,0.1,2011,1.22435874630292,816.754078834821,1e-04,1.683,9,NA,0,0,0
2852,288,"בית יהושע","BET YEHOSHUA",1,"יהודי",1060,510,550,360,70,70,460,90,2014,1.22435874630292,865.759323564911,0.0849056603773585,1.683,9,NA,0,0,0
2853,288,"בית יהושע","BET YEHOSHUA",1,NA,784,NA,NA,NA,NA,NA,NA,NA,2006,1.22435874630292,640.3351978065,NA,1.683,9,61,0,0,0
2854,288,"בית יהושע","BET YEHOSHUA",1,"יהודי",1076,519,557,350,91,69,459,106,2017,1.22435874630292,878.827388826268,0.0985130111524164,1.683,9,NA,0,0,0
2855,288,"בית יהושע","BET YEHOSHUA",1,NA,901,NA,NA,NA,NA,NA,NA,NA,2009,1.22435874630292,735.895425030174,NA,1.683,9,59,0,0,0
2856,288,"בית יהושע","BET YEHOSHUA",1,"יהודי",1040,510,530,350,80,60,440,100,2016,1.22435874630292,849.424241988214,0.0961538461538462,1.683,9,NA,0,0,0
2857,288,"בית יהושע","BET YEHOSHUA",1,"יהודי",1118,537,581,299,106,123,461,131,2021,1.22435874630292,913.13106013733,0.117173524150268,1.683,9,NA,0,0,0
2858,288,"בית יהושע","BET YEHOSHUA",1,"יהודי",1010,490,510,350,50,80,450,90,2012,1.22435874630292,824.921619623169,0.0891089108910891,1.683,9,NA,0,0,0
2859,289,"עין המפרץ","EN HAMIFRAZ",1,NA,669,NA,NA,NA,NA,NA,NA,NA,2006,0.93345899948073,716.689217600511,NA,0.095,5,60,0,0,0
